company	amt	amtRatio	contracts	contRatio	employees
Alta Data Technologies Llc	113978.0	0.0018	4	0.0081	13
Labrepco Incorporated	32660.29	0.0018	3	0.0061	50
Executive Data Systems Incorporated	4518.0	0.0018	1	0.002	26
Agilent Technologies Incorporated	411661.52	0.0021	18	0.0367	26000
Quality Thin Films Incorporated	4975.0	0.0018	1	0.002	26
Heard Construction Incorporated	236273.0	0.0019	4	0.0081	40
Raytheon Company	224771579.03	0.1688	12	0.0244	86000
Loadpath, Llc	759065.0	0.0023	3	0.0061	9
Corporate Rotable & Supply Incorporated	5435.0	0.0018	1	0.002	25
Mcclain Contracting Co Incorporated	1973217.5	0.0032	1	0.002	20
Intertest Incorporated	13050.0	0.0018	2	0.0041	33
Florida Institute Of Technology Incorporated	165057.0	0.0019	4	0.0081	1550
Helix Management Services, Llc	54268.25	0.0018	4	0.0081	2
Roper Scientific Incorporated	10249.68	0.0018	7	0.0143	6000
Rc Electronics Incorporated	4285.0	0.0018	1	0.002	16
Shamrock Hose And Fittings Incorporated	4919.18	0.0018	1	0.002	12
West Virginia University Research Corporation	1387331.23	0.0028	11	0.0224	17686
Fluid Systems Solutions, Llc	3921.41	0.0018	1	0.002	1
Seal Dynamics Llc	7531.8	0.0018	1	0.002	60
Quest Metrology Llc	-943.88	0.0018	1	0.002	4
Dlt Federal Business Systems Corporation	-21976.65	0.0017	2	0.0041	7
Crown Electric Of South Florida Incorporated	15331.17	0.0018	1	0.002	4
Magna-power Electronics (inc)	15934.37	0.0018	1	0.002	80
Ata Engineering Incorporated	946765.04	0.0025	8	0.0163	90
Optical Sciences Corporation	132323.0	0.0019	1	0.002	25
Eureka Scientific Incorporated	130768.0	0.0019	3	0.0061	3
Lc Tech	65758.0	0.0018	1	0.002	2
Environmental Management, Alabama Dept Of	159168.0	0.0019	1	0.002	600
Alvarez & Associates, Llc	1347733.56	0.0028	26	0.053	11
Carthage College	485844.0	0.0021	1	0.002	0
Chesapeake Resources Incorporated	3588.0	0.0018	1	0.002	75
Iris Technology Corporation	749955.0	0.0023	1	0.002	29
Aurora Flight Sciences Corporation	2291868.0	0.0035	11	0.0224	425
Episys Science Incorporated	249763.0	0.0019	2	0.0041	3
Rector & Visitors Of The University Of Virginia	1192036.79	0.0026	17	0.0346	12000
Coastal International Security Incorporated	-2.0	0.0018	2	0.0041	2000
Nanoracks	19879.0	0.0018	1	0.002	5
Dimension Technologies Incorporated	749969.0	0.0023	1	0.002	5
Training Resource Consultants Incorporated	-1260.13	0.0018	2	0.0041	8
Lane Industries Incorporated	10404.0	0.0018	5	0.0102	67
Masters, Mates And Pilots Maritime Advancement, Training, Education And Safety Program	6965.0	0.0018	1	0.002	70
Energy Pipe & Supply Incorporated	8655.42	0.0018	3	0.0061	14
Up Aerospace Incorporated	671720.0	0.0023	2	0.0041	4
Safari Micro Government Solutions, Llc	17351.4	0.0018	3	0.0061	5
Aberdeen Llc	23686.0	0.0018	1	0.002	48
Catholic University Of America	63612.0	0.0018	1	0.002	4675
Asrc Aerospace Corporation	66206.93	0.0018	12	0.0244	874
University Of Dayton	23948.0	0.0018	1	0.002	2800
Fibertek Incorporated	3057164.64	0.004	11	0.0224	185
Itt Space Systems, Llc	13124718.0	0.0115	7	0.0143	39367
Bruker Optics Incorporated	283367.24	0.002	3	0.0061	1500
Cleveland State University	-251.57	0.0018	1	0.002	1500
Rochester Institute Of Technology (inc)	601160.0	0.0022	7	0.0143	7069
Mila Solutions, Llc	117512.0	0.0018	1	0.002	1
Astronomical Research Institute	132197.0	0.0019	1	0.002	2
University Of Alabama At Birmingham	224962.0	0.0019	1	0.002	18500
Analex Corporation	5000000.0	0.0055	4	0.0081	13500
Franklin Covey Client Sales Incorporated	21370.1	0.0018	3	0.0061	1487
Panalytical Incorporated	35907.3	0.0018	2	0.0041	700
As And D Incorporated	19294249.23	0.0161	5	0.0102	991
Catalina Scientific Instruments, Llc	79223.39	0.0018	2	0.0041	3
Ch2m Hill Incorporated	11710322.0	0.0105	44	0.0896	18294
Control Dynamics Incorporated	80941.0	0.0018	2	0.0041	48
Manufacturing Technology Incorporated	32415.0	0.0018	1	0.002	160
Tecolote Research Incorporated	725287.92	0.0023	13	0.0265	604
Pinnacle Solutions Incorporated	301559.89	0.002	2	0.0041	62
Bear Fight Institute Incorporated	-89.58	0.0018	2	0.0041	6
Capitol Furniture Distributing	6188.3	0.0018	1	0.002	28
Research Foundation Of The City University Of New York	504465.0	0.0021	3	0.0061	6000
Oregon Museum Of Science And Industry	37456.0	0.0018	1	0.002	249
Unicom Government Incorporated	1290085.11	0.0027	9	0.0183	850
Christie Digital Systems Usa Incorporated	132499.0	0.0019	1	0.002	871
Advanced Processing Technology Incorporated	16411.85	0.0018	3	0.0061	7
Carl Zeiss Industrial Metrology, Llc	6648.0	0.0018	1	0.002	12257
Satair Usa Incorporated	3352.28	0.0018	1	0.002	12000
Texas Engineering Experiment Station	49845.71	0.0018	4	0.0081	1800
Sample-webtrol Incorporated	-145.31	0.0018	1	0.002	25
Techland Research Incorporated	249989.17	0.0019	1	0.002	3
Provantage Corporation	6273.42	0.0018	1	0.002	56
Netzsch Instruments North America Llc	35822.5	0.0018	2	0.0041	1500
104 Investment, Llc	5985.0	0.0018	1	0.002	50
Russia Space Agency	211349999.15	0.1588	4	0.0081	0
Aerogo Incorporated	17758.0	0.0018	1	0.002	60
The Dna Medicine Institute, Incorporated	123425.0	0.0019	1	0.002	10
Hr Anew Incorporated	88814.25	0.0018	1	0.002	27
Van Brakel Electronics Incorporated	-55.0	0.0018	1	0.002	9
Rubin, Sheldon	46459.0	0.0018	1	0.002	1
Fraunhofer Usa Incorporated	150788.08	0.0019	3	0.0061	110
Spectabit Optics Llc	116591.0	0.0018	1	0.002	11
Parker-hannifin Corporation	8287.25	0.0018	2	0.0041	60000
Vound Colorado, Ltd	9967.5	0.0018	1	0.002	1
Air Liquide Electronics U.S. Lp	9585.0	0.0018	1	0.002	40000
Emory University	375305.8	0.002	3	0.0061	23000
Dna Equipment Incorporated	55877.1	0.0018	1	0.002	3
Dtc Communications Incorporated	23671.1	0.0018	1	0.002	11200
University Of Montana System	1767719.1	0.0031	12	0.0244	3321
American Management Association International	64162.0	0.0018	4	0.0081	600
Henry Ford Health System	133987.0	0.0019	1	0.002	19000
University Of Colorado	439737.04	0.0021	2	0.0041	3333
Wyle Laboratories Incorporated	84453445.14	0.0645	16	0.0326	4654
J Craig Venter Institute Incorporated	375000.0	0.002	2	0.0041	315
County Of Erie	7376.0	0.0018	1	0.002	900
Flightsafety International Incorporated	203470.0	0.0019	9	0.0183	217550
Acuren Inspection Incorporated	34968.71	0.0018	3	0.0061	1100
Zeta Associates Incorporated	9995.0	0.0018	1	0.002	350
Harris It Services Corporation	-25276.75	0.0017	1	0.002	16000
The Massachusetts General Hospital	235968.0	0.0019	1	0.002	42000
Imagecat Incorporated	-2.67	0.0018	1	0.002	18
Kipper Tool Company	11371.51	0.0018	1	0.002	32
Vc Displays Incorporated	6618.96	0.0018	1	0.002	20
Cellular Dynamics International Incorporated	26865.0	0.0018	1	0.002	130
3d Infotech Incorporated	7985.77	0.0018	1	0.002	9
Plasmaterials Incorporated	3375.0	0.0018	1	0.002	6
Advanced Integration, Llc	105519.4	0.0018	5	0.0102	15
Sam Houston State University	84734.0	0.0018	1	0.002	2814
Xmed Disposal Incorporated	536.8	0.0018	4	0.0081	12
Aprisa Technology Limited Liability Company	41337.52	0.0018	4	0.0081	7
Safety Solutions Incorporated	-110.0	0.0018	2	0.0041	120
Intel Corporation	16420.25	0.0018	7	0.0143	88600
Emd Millipore Corporation	3163.61	0.0018	1	0.002	60000
University Of Hawaii Systems	6285379.21	0.0064	44	0.0896	8005
Norfolk State University	85392.0	0.0018	1	0.002	967
Iowa State University Equities Corporation	-6.24	0.0018	1	0.002	8
New Mexico State University	9414545.1	0.0088	13	0.0265	5853
University Of California, San Francisco	496361.34	0.0021	3	0.0061	135000
Cascade Designs Incorporated	58559.0	0.0018	1	0.002	564
Tec5usa Incorporated	25224.0	0.0018	1	0.002	10
Open Systems Technologies De, Llc	46875.91	0.0018	1	0.002	100
Indiana Integrated Circuits Llc	124869.0	0.0019	1	0.002	3
Carnegie Institution Of Washington	274871.66	0.002	7	0.0143	500
Techni-tool Incorporated	53580.0	0.0018	2	0.0041	21446
The Innovation Laboratory, Incorporated	123916.0	0.0019	1	0.002	3
A. West Enterprise, Llc	1309725.0	0.0027	6	0.0122	25
Ambit Group	94784.0	0.0018	1	0.002	20
Alexandria Coatings Llc	6216.8	0.0018	6	0.0122	36
Tuthill Corporation	7322.0	0.0018	1	0.002	215
Baylor University	178966.0	0.0019	2	0.0041	2310
Siena College (inc)	-1363.5	0.0018	2	0.0041	1
It Tech Direct, Llc	33643.71	0.0018	1	0.002	15
Ohio Edison Company	824904.2	0.0024	11	0.0224	0
Texas A & M Engineering Experiment Station	49765.0	0.0018	1	0.002	1400
I S S Action Incorporated	864505.53	0.0024	5	0.0102	175
Legacy Rsource Consulting Corporation	-29224.21	0.0017	1	0.002	185
Empirical Systems Aerospace Incorporated	297676.93	0.002	3	0.0061	7
Controlled Dynamics Incorporated	749993.0	0.0023	1	0.002	5
Oregon State University	1951732.37	0.0032	12	0.0244	5200
Bmi Surplus Incorporated	6482.4	0.0018	1	0.002	9
Inter Pacific Limited Liability Company	2338.13	0.0018	1	0.002	5
Conservation International Foundation	495371.0	0.0021	2	0.0041	910
National Institute Of Transition Planning Incorporated	43960.0	0.0018	8	0.0163	7
Aecom Technical Services Incorporated	9670345.08	0.0089	27	0.055	45000
Porifera Incorporated	18159.27	0.0018	1	0.002	17
Padova Technologies Incorporated	-55.55	0.0018	1	0.002	9
Jungo Connectivity Ltd	5198.0	0.0018	1	0.002	35
Engineering Research And Consulting Incorporated	3721786.23	0.0045	5	0.0102	915
Alliant Techsystems Incorporated	-4535.0	0.0018	1	0.002	15801
Agc Chemicals Americas Incorporated	-5552.28	0.0018	2	0.0041	51000
Ayuda Management Corporation	292786.0	0.002	6	0.0122	35
Corelis Incorporated	9525.0	0.0018	1	0.002	1000
Wildman Rocket Supply Co	69989.34	0.0018	2	0.0041	2
Dynamic Materials Corporation	9224.0	0.0018	1	0.002	373
Nearfield Systems Incorporated	45945.0	0.0018	1	0.002	75
Cypress Construction & Maintenance Services Incorporated	14985.0	0.0018	1	0.002	1
S A E S Getters/u S A Incorporated	20.24	0.0018	2	0.0041	1000
Aleut O & M Services, Llc	1298218.0	0.0027	1	0.002	1
Institute For Broadening Participation	899748.0	0.0024	1	0.002	6
Technical Communities Incorporated	879778.48	0.0024	33	0.0672	27
Skolnik Industries Incorporated	51545.0	0.0018	1	0.002	90
The Regents Of The University Of Colorado	18685471.27	0.0156	114	0.2322	3333
Mango Global Holdings Incorporated	4975.0	0.0018	1	0.002	7
Digital Solid State Propulsion Llc	124526.0	0.0019	1	0.002	22
Unisys Corporation	3267351.08	0.0042	7	0.0143	36000
S P Korolev Rocket And Space Public Corporation Energia	33544.0	0.0018	1	0.002	0
Idaho State University	149777.0	0.0019	1	0.002	1800
Lands' End Incorporated	2131.32	0.0018	1	0.002	5500
Avnet Incorporated	5539.81	0.0018	2	0.0041	17000
Western Environmental Technology Laboratories Incorporated	856541.5	0.0024	3	0.0061	50000
Oklahoma State University	3448.55	0.0018	1	0.002	55
L. Miller & Son Incorporated	32274.23	0.0018	2	0.0041	13
Embry-riddle Aeronautical University Incorporated	286145.0	0.002	3	0.0061	4719
Johnson Matthey Incorporated	13613.0	0.0018	1	0.002	12000
Data Physics Corporation	18860.0	0.0018	2	0.0041	95
American Society Of Professional Education Incorporated	23985.0	0.0018	1	0.002	20
Chemsteel Construction Company	293007.57	0.002	7	0.0143	35
Lord And Company Incorporated (an Alabama Corporation)	142226.28	0.0019	1	0.002	40
Clean Energy Fuels Corporation	-5423.29	0.0018	3	0.0061	1062
Service Physics Incorporated	22825.0	0.0018	1	0.002	4
B&h Foto & Electronics Corporation	18456.92	0.0018	3	0.0061	1900
Carbon Carbon Advanced Technologies Incorporated	132630.0	0.0019	2	0.0041	33
Makel Engineering Incorporated	231264.0	0.0019	3	0.0061	20
Canon U.S.A. Incorporated	7314.48	0.0018	1	0.002	1700
United Technologies Corporation	1141691.0	0.0026	9	0.0183	600
Wheeling Jesuit University Incorporated	-611.57	0.0018	1	0.002	318
Heuristic Management Systems Incorporated	3338.96	0.0018	1	0.002	8
Canadian Commercial Corporation	-549335.72	0.0014	10	0.0204	95
Clemson University	385759.92	0.002	6	0.0122	3500
Epix Incorporated	-15.0	0.0018	1	0.002	9
Kimball Physics Incorporated	6335.0	0.0018	1	0.002	52
Utah State University	98957.84	0.0018	4	0.0081	4000
J L C Air Incorporated	32574.0	0.0018	1	0.002	11
Kaiser Optical Systems Incorporated	-12.0	0.0018	1	0.002	20000
Hewlett-packard Company	422271.17	0.0021	16	0.0326	331800
Kaygor Incorporated	7244.75	0.0018	1	0.002	8
Agile Planet Incorporated	1475.0	0.0018	1	0.002	4
Precision Fabricating & Cleaning Company Incorporated	1834577.56	0.0031	16	0.0326	150
Emerging Measurements	-103.23	0.0018	2	0.0041	0
Gerber Scientific International Incorporated	1718.0	0.0018	1	0.002	980
M4 Engineering Incorporated	249321.0	0.0019	2	0.0041	14
Epir Incorporated	124996.0	0.0019	1	0.002	1
Exelis Incorporated	84791249.2	0.0648	8	0.0163	19000
Scientific Solutions Incorporated	199116.0	0.0019	1	0.002	8
Tactical Haptics Llc	124973.0	0.0019	1	0.002	1
Stertil-koni U.S.A. Incorporated	19815.0	0.0018	1	0.002	14
Dodson Technical Services Incorporated	24818.0	0.0018	1	0.002	9
Kiss Institute For Practical Robotics	48460.18	0.0018	2	0.0041	14
Rgb Spectrum	11856.0	0.0018	1	0.002	80
Colorado State University	2926526.2	0.0039	35	0.0713	7500
Numerical Precision Incorporated	21441.0	0.0018	5	0.0102	25
Astro-med Incorporated	27482.0	0.0018	1	0.002	0
Oerlikon Leybold Vacuum Usa Incorporated	-312.33	0.0018	4	0.0081	80
Computech International Incorporated	27648.0	0.0018	1	0.002	30
South Carolina Research Foundation	517060.8	0.0021	4	0.0081	1
Jacobs Technology Incorporated	198770491.15	0.1494	153	0.3116	9100
Anritsu Company	259620.37	0.002	2	0.0041	824
United States Foundation For Inspiration And Recognition Of Science And Technology	4494.17	0.0018	1	0.002	75
National Instruments (inc)	-1547.51	0.0018	1	0.002	3008
Pitney Bowes Incorporated	20974.0	0.0018	3	0.0061	0
Louisiana Board Of Regents	57709.2	0.0018	2	0.0041	82
Wask Engineering Incorporated	874819.0	0.0024	2	0.0041	11
Zenker, Edward	-9675.0	0.0018	1	0.002	1
Jackson State University	12380.0	0.0018	2	0.0041	1100
Enutron Industrial Corporation	42339.0	0.0018	1	0.002	6
Infor (us) Incorporated	49973.0	0.0018	1	0.002	1330
Cgtech	367370.0	0.002	2	0.0041	49
Tetra Tech Incorporated	3828832.89	0.0046	7	0.0143	12000
Physical Optics Corporation	1124824.0	0.0026	4	0.0081	200
The Woods Hole Research Center, Incorporated	589744.0	0.0022	5	0.0102	56
Recom Technologies Incorporated	-14177.52	0.0018	1	0.002	6
Intelligent Decisions Incorporated	1095653.77	0.0026	54	0.11	600
Esper, Charu S	-6.68	0.0018	1	0.002	1
Encore Systems	23388.0	0.0018	1	0.002	2
University Of Maryland Baltimore County	7902515.82	0.0076	51	0.1039	3854
Associated Industries For The Blind	35948.99	0.0018	3	0.0061	50
Aeroprobe Corp	6822.0	0.0018	1	0.002	10
Microlink Devices Incorporated	1617500.0	0.003	3	0.0061	35
Advanced Computer Concepts Incorporated	28774.68	0.0018	2	0.0041	45
Eyesdx Incorporated	119125.0	0.0018	1	0.002	1
Hunter Aerospace Incorporated	8274.0	0.0018	1	0.002	4
Affigent, Llc	6076659.2	0.0063	46	0.0937	97
Ats Meteorology Usa Incorporated	-235.0	0.0018	1	0.002	2
Mcallister Technical Services Incorporated	91.94	0.0018	1	0.002	13
Delany, Siegel, Zorn & Associates Incorporated	51192.0	0.0018	16	0.0326	12
University Of Texas At Arlington	364048.9	0.002	3	0.0061	4000
Instrument Service & Equipment Incorporated	-85.5	0.0018	1	0.002	13
Daqscribe Solutions	4134.0	0.0018	1	0.002	6
Analytical Imaging & Geophysics, Llc	1656.0	0.0018	1	0.002	1
Inomedic Health Applications Incorporated	10274804.51	0.0094	12	0.0244	217
Plum Brook Operations Support Group (join Venture)	-1376.78	0.0018	1	0.002	90
Leach International Corporation	14363.0	0.0018	1	0.002	1200
Industrial Refrigeration Service Incorporated	-48.34	0.0018	1	0.002	37
Consolidated Aircraft Supply Co Incorporated	3765.22	0.0018	1	0.002	60
Electro Optical Components Incorporated	7366.0	0.0018	1	0.002	4
Bruel & Kjaer North America Incorporated	501806.47	0.0021	12	0.0244	1072
Perkinelmer Health Sciences Incorporated	104102.93	0.0018	4	0.0081	1745
Dominion Retail	-1915.0	0.0018	1	0.002	17000
Wake Forest University	-2.47	0.0018	1	0.002	4860
Becklin Holdings Incorporated	34139.6	0.0018	1	0.002	200
Kegman Incorporated	-15464.65	0.0017	1	0.002	3
Addison Engineering Incorporated	0.0	0.0018	2	0.0041	9
Whitman College Incorporated	76662.0	0.0018	1	0.002	427
Maryland Q.C. Laboratories Incorporated	-496.65	0.0018	2	0.0041	23
Astrex Electronics Incorporated	5357.72	0.0018	1	0.002	51
Chelton Avionics Incorporated	-378.16	0.0018	1	0.002	15000
Solid Concepts Incorporated	4965.0	0.0018	1	0.002	480
Interstate Electronics Corporation	297324.0	0.002	2	0.0041	62742
Canberra Industries Incorporated	-7633.17	0.0018	2	0.0041	75000
University Of North Dakota	822047.24	0.0024	10	0.0204	2756
Photonis Usa Incorporated	212824.0	0.0019	2	0.0041	1200
Primus Solutions Incorporated	3050784.24	0.004	4	0.0081	340
Constellation Newenergy - Gas Division, Llc	24258.0	0.0018	1	0.002	10346
Jit Global Enterprises Llc	121.13	0.0018	1	0.002	48
Western Industrial Machining Incorporated	32157.0	0.0018	5	0.0102	42
Rubbercraft Corporation Of California, Ltd	11975.76	0.0018	1	0.002	430
Qortek Incorporated	999147.0	0.0025	3	0.0061	12
Fibertech Optica Incorporated	3995.0	0.0018	1	0.002	10
American Power Systems Llc	8681.16	0.0018	1	0.002	60
Skillsoft Plc	535666.44	0.0022	2	0.0041	0
Technologies For Research Incorporated	-31.63	0.0018	1	0.002	2
National Fire Protection Association Incorporated	17995.0	0.0018	1	0.002	300
New Jersey Institute Of Technology	1081869.36	0.0026	15	0.0305	1227
Atk Space Systems Incorporated	601516.0	0.0022	7	0.0143	17000
Roffer's Ocean Fishing Forecasting Service Incorporated	235931.0	0.0019	1	0.002	6
Aimtek Incorporated	6581.35	0.0018	2	0.0041	24
Stradis Incorporated	-6656.68	0.0018	1	0.002	12
Agnitron Technology Incorporated	124928.0	0.0019	1	0.002	9
Directed Vapor Technologies International Incorporated	871384.0	0.0024	2	0.0041	13
Smart Information Flow Technologies, Llc	44363.0	0.0018	1	0.002	26
M S N W Llc	124999.0	0.0019	1	0.002	7
Nui Corporation	-76447.36	0.0017	1	0.002	1100
The Mathworks Incorporated	1943001.41	0.0032	35	0.0713	2800
Applied Industrial Technologies - Dixie Incorporated	6274.2	0.0018	1	0.002	5000
Aar Allen Services Incorporated	2129.78	0.0018	1	0.002	6700
Beacon Training Services Incorporated	4438.66	0.0018	1	0.002	3
F.R.S. Environmental Incorporated	5528.28	0.0018	1	0.002	5
Grammatech Incorporated	49992.99	0.0018	1	0.002	50
University Of Texas At Austin	2175217.93	0.0034	30	0.0611	24864
Tasc Incorporated	18950807.33	0.0158	9	0.0183	5000
Great Southern Engineering Incorporated	675218.0	0.0023	5	0.0102	12
Eastern Aero Marine Incorporated	9484.74	0.0018	1	0.002	174
Materion Brush Incorporated	73924.0	0.0018	1	0.002	2000
Mar-test Incorporated	-1.6	0.0018	1	0.002	60
Ricor Usa Incorporated	7969.0	0.0018	1	0.002	5
Miscellaneous Foreign Awardees	597589.78	0.0022	5	0.0102	10
Miyachi Unitek Corporation	6844.45	0.0018	2	0.0041	626
Litespar Incorporated	1499467.0	0.0029	1	0.002	3
Bellsouth Telecommunications Incorporated	732160.9	0.0023	12	0.0244	309050
Adsys Controls Incorporated	124865.0	0.0019	1	0.002	15
Castle Challenger Learning Center Foundation Incorporated	-1656.0	0.0018	1	0.002	12
Vibrac, Llc	12594.3	0.0018	1	0.002	14
Compliance Automation Incorporated	26268.34	0.0018	3	0.0061	8
Sukra Helitek Incorporated	124682.0	0.0019	1	0.002	7
Jb Technical Support Service, Llc	36555.0	0.0018	1	0.002	4
Premier Safety & Service Incorporated	3212.19	0.0018	1	0.002	35
Scanivalve Corporation	158399.0	0.0019	2	0.0041	41
Ctrl Systems Incorporated	4925.0	0.0018	1	0.002	10
Command & Control Technologies Corporation	45732.0	0.0018	1	0.002	9
Optical Society Of America Incorporated	3834.0	0.0018	1	0.002	140
Hispanic College Fund Incorporated	523784.0	0.0021	1	0.002	21
Princeton Scientific Corp	4795.0	0.0018	1	0.002	4
Unavco Incorporated	174568.0	0.0019	2	0.0041	90
Yardney Technical Products Incorporated	124567.0	0.0019	1	0.002	157
Quasar Federal Systems Incorporated	124996.0	0.0019	1	0.002	13
Trustees Of The University Of Pennsylvania	462101.0	0.0021	5	0.0102	32400
Trax International Corporation	24647655.86	0.0201	16	0.0326	485
Esionic Corporation	252877.0	0.0019	1	0.002	0
Thermo-calc Software	17479.12	0.0018	3	0.0061	28
Beacon Systems Incorporated	743002.19	0.0023	4	0.0081	32
Central Engineering Incorporated	58977.0	0.0018	3	0.0061	8
Elite Image Incorporated	12107.5	0.0018	2	0.0041	3
The University Of Texas At Austin	-56932.8	0.0017	1	0.002	23294
Universal Acoustic & Emission Technologies Incorporated	4457.6	0.0018	1	0.002	541
Aastra Usa Incorporated	129396.33	0.0019	1	0.002	2150
Allied Modular Building Systems Incorporated	43171.4	0.0018	1	0.002	45
Immixtechnology Incorporated	1642123.04	0.003	38	0.0774	260
Neopost Incorporated	12572.88	0.0018	2	0.0041	0
Forms & Supply Incorporated	25518.72	0.0018	3	0.0061	298
Trident Systems Incorporated	749995.0	0.0023	1	0.002	85
Biospherical Instruments Incorporated	628235.83	0.0022	4	0.0081	11
Cascade Technical Sciences Incorporated	6985.0	0.0018	1	0.002	21
Positronic Industries Incorporated	4953.76	0.0018	1	0.002	867
Ensco Avionics Incorporated	-24489.51	0.0017	2	0.0041	600
Johns Hopkins University	35461089.37	0.0281	109	0.222	4300
International Trade Bridge Incorporated	1037239.39	0.0025	7	0.0143	20
Berkeley Design Automation Incorporated	24999.0	0.0018	1	0.002	47
Kay And Associates Incorporated	2373248.32	0.0035	4	0.0081	700
Vescent Photonics Incorporated	746669.0	0.0023	1	0.002	13
Curtis, Lewis & Associates Pc	653133.6	0.0022	28	0.057	0
Innovative Machine Solutions, Llc	104541.79	0.0018	6	0.0122	4
Anadarko Industries, Llc	1713190.0	0.003	4	0.0081	156
Rv-elektroniikka Oy	7855.0	0.0018	1	0.002	2
Stepan Company	191729.7	0.0019	3	0.0061	1700
Dyncorp International Llc	13277406.46	0.0116	17	0.0346	22000
Silicon Graphics Federal, Llc	1250588.2	0.0027	14	0.0285	350
Daylight Solutions Incorporated	55151.0	0.0018	1	0.002	65
Jaeco Precision Incorporated	19954.28	0.0018	1	0.002	12
Lowell Observatory	647600.0	0.0022	7	0.0143	8778
Metis Design Corporation	749988.0	0.0023	1	0.002	12
Tentguild Engineering Co	118346.0	0.0018	1	0.002	1
Ornelas Enterprises Incorporated	24889.1	0.0018	1	0.002	25
Johnson Matthey Catalog Company Incorporated	5308.9	0.0018	2	0.0041	7986
Kearfott Corporation	14326.0	0.0018	1	0.002	1000
Madison Electric Incorporated	37210.76	0.0018	5	0.0102	46
Fisher Unitech Incorporated	37992.58	0.0018	1	0.002	121
Phoenix Integration Incorporated	999484.0	0.0025	3	0.0061	42
G&a Technical Software Incorporated	288667.0	0.002	3	0.0061	11
J.P. Donovan Construction Incorporated	99795.0	0.0018	1	0.002	20
Compu Dynamics, Llc	18528.0	0.0018	1	0.002	24
Turtle Mountain Community College	152778.0	0.0019	1	0.002	0
Adapco Incorporated	97567.2	0.0018	1	0.002	40
Sigma-aldrich Incorporated	-693.0	0.0018	1	0.002	9000
Mo Sci Corp	124987.0	0.0019	1	0.002	35
Engineered Software Incorporated	14675.0	0.0018	1	0.002	35
Auburn University	658629.31	0.0022	7	0.0143	12476
Real-time Analyzers Incorporated	749479.0	0.0023	1	0.002	6
Columbus Public School District	-1449.59	0.0018	1	0.002	8517
Bench Top Solutions, Llc	4833.23	0.0018	1	0.002	1
Enterprise Advisory Services Incorporated	-5.52	0.0018	1	0.002	232
Tektronix Incorporated	62515.35	0.0018	6	0.0122	63000
University Of Utah	1026379.52	0.0025	10	0.0204	28000
Solv Llc	43868.0	0.0018	1	0.002	23
Shimadzu Scientific Instruments Incorporated	28420.3	0.0018	4	0.0081	8500
Flexfireleds Com	7495.0	0.0018	1	0.002	2
Gener8 Incorporated	999812.0	0.0025	3	0.0061	45
The Cleveland Clinic Foundation	-86999.0	0.0017	1	0.002	40000
Wendon Company Incorporated	14178.0	0.0018	1	0.002	45
Montana State University Incorporated	1517036.0	0.0029	13	0.0265	2500
Idsc Holdings Llc	25654.27	0.0018	1	0.002	12000
The Planetary Society	1.0	0.0018	1	0.002	16
Bruker Nano Incorporated	8338.32	0.0018	1	0.002	4450
Calram Incorporated	-297.41	0.0018	1	0.002	6
The Soundcoat Company, Inc	17230.6	0.0018	2	0.0041	1000
Compact Membrane Systems Incorporated	124994.0	0.0019	1	0.002	25
Alabama Fluid System Technologies Incorporated	64596.97	0.0018	1	0.002	32
Eldre Corporation	7815.36	0.0018	1	0.002	300
Saber Astronautics	121431.0	0.0019	1	0.002	9
Composite Technology Development Incorporated	749979.0	0.0023	1	0.002	36
Dmc Service Incorporated	3817.47	0.0018	1	0.002	8
Siler Excavating Llc	55792.83	0.0018	1	0.002	5
Cornell Technical Services Llc	5891342.0	0.0061	41	0.0835	30
Ophir Corporation	299870.34	0.002	2	0.0041	24
University Of California, Irvine	1164587.05	0.0026	17	0.0346	134912
Praxair Incorporated	2972419.82	0.004	22	0.0448	28000
Prima Electro North America, Llc	35994.0	0.0018	1	0.002	100
Boeing Service Company	1567113.48	0.0029	13	0.0265	155300
Oboyle Enterprises Incorporated	7244.5	0.0018	3	0.0061	17
Brevard Achievement Center Incorporated	-6476.78	0.0018	1	0.002	560
Street Legal Industries Incorporated	421882.0	0.0021	1	0.002	75
Susquehanna University	-1331.9	0.0018	1	0.002	618
Linde Gas North America Llc	11845.5	0.0018	1	0.002	48000
Automated Power Technologies Incorporated	23649.39	0.0018	1	0.002	5
L&m Technologies Incorporated	4590379.56	0.0052	10	0.0204	213
Museum Of Aviation, Robin's Air Force Base	-16.39	0.0018	1	0.002	5
Transcat Incorporated	5994.4	0.0018	2	0.0041	324
University Of Northern Colorado	-115.45	0.0018	1	0.002	3200
Xram Limited	4695.0	0.0018	1	0.002	17
Optipro Systems, Llc	249897.0	0.0019	2	0.0041	53
Bruker Biospin Corporation	10065.31	0.0018	2	0.0041	4500
V J Technologies Incorporated	3557.5	0.0018	1	0.002	120
Secure Components, Llc	5438.0	0.0018	1	0.002	10
Aviation Oxygen Systems Incorporated	6368.95	0.0018	3	0.0061	2
Continuum Electro-optics Incorporated	9637.0	0.0018	1	0.002	53
Madison Cryogroup Llc	749941.0	0.0023	1	0.002	1
Mts Systems Corporation	258827.05	0.002	16	0.0326	1705
Magnetic Technologies, Ltd	-49.24	0.0018	1	0.002	20
Eic Solutions Incorporated	243.99	0.0018	1	0.002	20
